No.,"Student ID","Student name","Affiliation 1","Affiliation 2","Lesson 1 - Video","Lesson 1 - Quiz","Lesson 1 - Questionnaire","Lesson 1 - Report"
1,kjsstudent1,kjsstudent1,Workers,"Factory Workers","50% ( 1 / 2 ) ",-,"0% ( 0 / 2 )",-
2,kjsstudent2,kjsstudent2,Workers,"Factory Workers","0% ( 0 / 2 ) ",-,"0% ( 0 / 2 )",-
3,tanjil,tanjil,Workers,"Factory Workers","0% ( 0 / 2 ) ",-,"0% ( 0 / 2 )",-
4,Arivu,Arivu,Workers,"Factory Workers","0% ( 0 / 2 ) ",-,"50% ( 1 / 2 ) ",-
5,ts1,ts1,Workers,"Factory Workers","0% ( 0 / 2 )",-,"0% ( 0 / 2 )",-
6,ts2,ts2,Workers,"Factory Workers","0% ( 0 / 2 ) ",-,"0% ( 0 / 2 )",-
7,ts3,ts3,Workers,"Factory Workers","0% ( 0 / 2 ) ",-,"50% ( 1 / 2 ) ",-
8,seino,説明用,Workers,"Factory Workers","0% ( 0 / 2 )",-,"0% ( 0 / 2 )",-
